atividade_principal_code,tipo,situacao,natureza_juridica,participacoes,vitorias,class
45.30-7-05,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.71-7-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
77.11-0-00,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.71-7-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.84-9-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",?
18.13-0-99,MATRIZ,ATIVA,206-2,FREQUENTE,"POUCO FREQUENTE",?
62.02-3-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.44-0-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
46.34-6-03,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,?
90.01-9-06,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",?
45.41-2-05,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
58.29-8-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.44-0-05,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.31-8-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.12-1-00,MATRIZ,ATIVA,230-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
38.12-2-00,FILIAL,ATIVA,206-2,"POUCO FREQUENTE","NUNCA VENCEU",?
38.12-2-00,FILIAL,ATIVA,206-2,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",?
45.30-7-03,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
62.03-1-00,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,?
10.91-1-01,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
10.91-1-02,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
41.20-4-00,MATRIZ,ATIVA,230-5,"POUCO FREQUENTE","MODERADAMENTE FREQUENTE",?
96.03-3-04,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.12-1-00,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.44-0-02,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",?
46.44-3-01,MATRIZ,ATIVA,206-2,"MUITO FREQUENTE","MUITO FREQUENTE",?
47.44-0-01,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
55.10-8-01,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",?
46.44-3-01,MATRIZ,ATIVA,206-2,"MUITO FREQUENTE","MUITO FREQUENTE",?
77.39-0-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.81-4-00,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
86.40-2-04,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,?
47.54-7-01,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,?
47.44-0-05,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.84-9-00,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
46.41-9-01,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,?
47.44-0-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
46.61-3-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
20.73-8-00,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","NUNCA VENCEU",?
47.51-2-01,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.12-1-00,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,?
77.11-0-00,MATRIZ,ATIVA,230-5,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",?
86.40-2-02,MATRIZ,ATIVA,230-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.81-4-00,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.44-0-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.31-8-00,MATRIZ,ATIVA,230-5,"POUCO FREQUENTE","MODERADAMENTE FREQUENTE",?
86.40-2-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",?
47.57-1-00,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
82.11-3-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
